id ,name,party ,sector ,country
UvL,Ursula von der Leyen,CDU,Politik ,DE
LK,Lars Klingbeil ,SPD,Politik ,DE
NR,Norbert Röttgen ,CDU,Politik ,DE
SW,Sahra Wagenkencht ,Linke ,Politik ,DE
CS,Constanze Stelzenmüller ,na,Jura ,USA
CL,Christian Lindner ,FDP,Politik ,DE
KS,Karl Schlögel,na,Geschichte,DE
LM,Ljudmyla Melnyk,na,Wirtschaft ,UKR
KD,Kristina Dunz,na,Journalismus ,DE
EL,Egils Levits,na,Politik ,LVA
AB,Annalena Baerbock,Grüne ,Politik ,DE
FT,Frans Timmermans ,na,Politik ,NLD
AM,Andrij Melnyk,na,Politik ,UKR
AGL,Alexander Graf Lambsdorff,FDP,Politik ,DE
ER,Egon Ramms ,none ,Politik ,DE
RH,Robert Habeck ,Grüne ,Politik ,DE
CM,Claudia Major ,na,Politik ,DE
KP,Katja Petrowskaja ,na,Journalismus ,UKR
RK,Rodderich Kiesewetter ,CDU,Politik ,DE
500,Folge 500,na,na,na
501,Folge 501,na,na,na
502,Folge 502,na,na,na
503,Folge 503,na,na,na